"Address","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08","DYCOL09","DYCOL10","DYCOL11","DYCOL12","DYCOL13","DYCOL14","DYCOL15"
10107019629,"01",1,5246,"56100",5,2,9,7,NA,"00000650000000","00000015000000","00000003600000",NA,884600000,2.16e+08
10113024029,"01",1,6111,"01120",4,1,5,3,"00000003500000","00000001700000",NA,"00000008400000",NA,185250000,171650000
10115025222,"01",1,7412,"45200",5,2,6,6,NA,"00000079000000","00000034000000","00000058000000",NA,3.95e+08,2.24e+08
10116025621,"01",1,1321,"10610",4,2,12,6,"00000456000000","00000065000000","00000037000000","00000079000000","00000020000000",1.047e+09,3.9e+08
10219033429,"01",1,8332,"49230",5,2,10,5,"0","00000105000000","00000490000000","00000031000000","0",1.05e+09,4.24e+08
10201026217,"01",1,5224,"47212",4,2,10,6,"00000240000000","00021000000000","00000200000000","00001800000000","00000060000000",2.45e+10,1.2e+09
10210031423,"01",1,8322,"49220",5,2,9,6,"0","00000030000000","00000010000000","00000007900000","0",227900000,1.8e+08
10210031424,"01",1,5143,"96020",5,2,6,6,"0","00000025000000","00000002000000","00000005000000","0",2.36e+08,2.04e+08
10201026614,"01",1,8322,"49220",5,2,6,5,"0","00000026500000","00000014750000","00000010500000","0",1.92e+08,140250000
10216032626,"01",1,5120,"56210",5,2,12,7,"00000240000000","00001000000000","00000015000000","00000700000000","00000008500000",2703500000,7.4e+08
10216032626,"02",1,5120,"56210",6,2,9,7,"0","0","0","0","0",0,0
10210031414,"02",1,5224,"47520",5,2,9,6,"0","00001152000000","00000005000000","00000024000000","0",1.44e+09,2.59e+08
10210031426,"01",1,8332,"49230",5,2,9,6,"0","00000250000000","00000020000000","00000006500000","0",636500000,3.6e+08
10210031429,"01",1,8322,"49220",5,2,9,6,"0","00000097000000","00000012000000","00000025000000","0",2.88e+08,1.54e+08
10202027014,"01",1,7111,"41000",5,2,9,6,"0","00000035000000","0","00000010000000","0",3.45e+08,3e+08
10201026613,"01",1,5224,"47212",5,2,9,6,"0","00004750000000","00000022000000","00000024500000","00000007000000",5.645e+09,841500000
10218033023,"01",1,5224,"56100",5,2,8,4,"0","00000048850000","00000007000000","00000003000000","0",1.65e+08,106150000
10218033023,"01",1,6111,"01120",5,1,9,2,"00000010000000","00000004700000","00000002500000","00000023900000","0",1.15e+08,73900000
10218033029,"01",1,3334,"68101",5,2,9,6,"0","00000015000000","00000012000000","00000078000000","00000003500000",673500000,5.65e+08
