"Address","MahMorajeh","ShoghlSarparast","NoeKhn","Takmil","TakmilDescA","TakmilDescB","TakmilDescC","Jaygozin","JaygozinDescA","JaygozinDescB","JaygozinDescC","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4","Tekrari"
2000053019,"03","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,180,1,"Admin",NA,"Admin","Admin",NA
2000053015,"03","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,225,1,"Admin",NA,"Admin","Admin",NA
2000017009,"03","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,173,1,"Admin",NA,"Admin","Admin",NA
2000017018,"03","دامدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,50,0,"Admin",NA,"Admin","Admin",NA
2000017015,"03","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,207,1,"Admin",NA,"Admin","Admin",NA
2000017010,"03","دامدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,75,0,"Admin",NA,"Admin","Admin",NA
2000017021,"03","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,39,0,"Admin",NA,"Admin","Admin",NA
2000053017,"03","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,39,0,"Admin",NA,"Admin","Admin",NA
2000053008,"03","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,135,1,"Admin",NA,"Admin","Admin",NA
2000029309,"03","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,234,1,"Admin",NA,"Admin","Admin",NA
2000029313,"03","كارگر",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,263,1,"Admin",NA,"Admin",NA,NA
2000029303,"03","پرسكارفلز",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,229,1,"Admin",NA,"Admin",NA,NA
2000029311,"03","دامدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,51,0,"Admin",NA,"Admin","Admin",NA
2000029305,"03","دامدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,182,1,"Admin",NA,"Admin","Admin",NA
2000041014,"03","دامدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,43,0,"Admin",NA,"Admin","Admin",NA
2000041017,"03","بناي ساختمان",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,208,1,"Admin",NA,"Admin","Admin",NA
2000041020,"03","فروشنده",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,177,1,"Admin",NA,"Admin","Admin",NA
2000005059,"03","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,156,1,"Admin",NA,"Admin","Admin",NA
2000005053,"03","كارگر ساختماني",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,72,0,"Admin",NA,"Admin","Admin",NA
2000101015,"03","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,61,0,"Admin",NA,"Admin","Admin",NA
2000005057,"03","كارگر ساده",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,305,1,"Admin",NA,"Admin","Admin",NA
2000101007,"03","دامدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,264,1,"Admin",NA,"Admin","Admin",NA
