"Address","MahMorajeh","ShoghlSarparast","NoeKhn","Takmil","TakmilDescA","TakmilDescB","TakmilDescC","Jaygozin","JaygozinDescA","JaygozinDescB","JaygozinDescC","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4","Tekrari","Bakhsh","ShrDeh","Hozeh","BlkAbd","AbdName"
10003003323,"04","بنا",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,280,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10003003320,"04","دانشگاه",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,78,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10006006516,"03","بلوک ساز",1,2,NA,1,NA,1,NA,NA,NA,"000003","18",4,283,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10006006508,"03","خانه دار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,217,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10006006523,"03","شهر داري",1,2,NA,1,NA,1,NA,NA,NA,"000003","24",4,129,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10009008120,"04","اشپز",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,49,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10003003313,"04","خوار وبار فروشي",1,2,NA,1,NA,1,NA,NA,NA,"000008","14",4,55,0,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10009008123,"04","شهرداري",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,77,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10009007716,"03","كارگر ساختمان",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,220,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10009007723,"03","راننده",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,334,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10009007713,"03","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,158,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10009007712,"03","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,240,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10010008920,"03","اپراتور دستگاه شركت داروسازي",1,2,NA,1,NA,1,NA,NA,NA,"000009","21",4,57,0,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10009007708,"03","فروشنده",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,83,0,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10006006520,"03","راننده وانت",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,233,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10006006514,"03",NA,NA,2,NA,1,NA,2,NA,2,NA,NA,NA,4,1,0,"Admin",NA,NA,"Admin",NA,NA,NA,NA,NA,NA
10006005720,"04","كارگر",1,2,NA,1,NA,1,NA,NA,NA,"000001","22",5,89,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10003003311,"04","داراي درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,45,0,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10006005712,"04","نگهبان",1,2,NA,1,NA,1,NA,NA,NA,"000001","10",4,293,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10006006512,"03","قصابي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,53,0,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10001000923,"04","فروشنده",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,197,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10001002116,"04","درامد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,249,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10001002108,"04","درامد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,222,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10001000908,"04","راننده",1,2,NA,1,NA,1,NA,NA,NA,"000003","09",4,87,0,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10001002120,"04","كارگر ريخته گري",1,2,NA,1,NA,1,NA,NA,NA,"000003","19",5,287,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
