"Address","MahMorajeh","NeshaniSarparast","NameSarparast","ShoghlSarparast","NoeKhn","Takmil","TakmilDesc","Jaygozin","JaygozinDesc","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4"
1270037005,"03",NA,NA,"داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,4,635,0,"Admin",NA,"Admin",NA
1270037004,"03",NA,NA,"خريد و فروش ضايعات",1,1,NA,2,NA,NA,NA,3,578,0,"Admin",NA,"Admin",NA
1270037001,"03",NA,NA,"بناي سفت کار",1,1,NA,2,NA,NA,NA,3,765,1,"Admin",NA,"Admin",NA
1270029003,"03",NA,NA,"باربر(حمال)",1,1,NA,2,NA,NA,NA,4,504,0,"Admin",NA,"Admin",NA
1270029004,"03",NA,NA,"نوازنده سيار ويولون",1,1,NA,2,NA,NA,NA,4,406,0,"Admin",NA,"Admin",NA
1270037002,"03",NA,NA,"کارگر ساده ساختماني",1,1,NA,2,NA,NA,NA,3,508,0,"Admin",NA,"Admin",NA
1270109002,"04",NA,NA,"داراي درامد بدون کار",1,1,NA,1,"مکان بعلت کوچ مستاجرمسکوني خالي بوده است","000011","006",3,442,0,"Admin",NA,"Admin",NA
1270049003,"04",NA,NA,"راننده مسافرکش",1,1,NA,2,NA,NA,NA,4,913,0,"Admin",NA,"Admin",NA
1270049004,"04",NA,NA,"داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,4,858,0,"Admin",NA,"Admin",NA
1270049005,"04",NA,NA,"داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,5,954,0,"Admin",NA,"Admin",NA
1270061005,"04",NA,NA,"فروشنده آهن آلات",1,1,NA,2,NA,NA,NA,4,839,0,"Admin",NA,"Admin",NA
1270029005,"03",NA,NA,"باربري",1,1,NA,2,NA,NA,NA,4,851,1,"Admin",NA,"Admin",NA
1270109005,"04",NA,NA,"زراعتکار",1,1,NA,2,NA,NA,NA,4,884,2,"Admin",NA,"Admin",NA
1270109003,"04",NA,NA,"فروشنده لوازم کادوئي",1,1,NA,2,NA,NA,NA,4,837,0,"Admin",NA,"Admin",NA
