"ADDRESS","COL1","COL3","COL4","COL5"
"002162109",33236,1,1500000,0
"002162110",33190,1,5500000,0
"002162110",33214,1,4400000,0
"002162110",34170,1,120000,0
"002202126",33190,1,7e+05,0
"002202126",34170,1,250000,0
"002052049",34170,1,1200000,0
"002202130",34170,1,2e+05,0
"002013004",34170,1,250000,0
"002163109",34170,1,1500000,0
"002013002",34148,1,23750000,0
"002013005",34170,1,250000,0
"002073066",33190,1,1e+06,0
"002073068",33258,1,1500000,0
"002073068",34170,1,125000,0
"002013003",34170,1,1250000,0
"002073063",34170,1,25000,0
"002073070",33258,1,1300000,0
"002153102",34170,1,3e+05,0
"002213132",34170,1,1e+06,0
"002213134",33190,1,2200000,0
"002213134",34170,1,150000,0
"002023022",33190,1,7e+06,0
"002023022",33214,1,140000,0
"002213131",34170,1,350000,0
"002023025",34170,1,350000,0
"002073073",33190,1,2.2e+07,0
"002153103",33258,8,2500000,0
"002013002",34170,1,370000,0
"002013002",34239,1,230000,0
"002013007",33134,1,4e+07,0
"002013007",33145,1,1e+08,0
"002013010",33190,1,4e+06,0
"002023023",33190,1,1400000,0
"002023024",33190,1,1.1e+07,0
"002023024",33214,1,4e+06,0
"002153104",33190,1,8e+06,0
"002153104",34170,1,5e+05,0
"002203128",33247,1,2e+05,0
"002203128",33258,8,1430000,0
"002203130",33190,1,7e+06,0
"002023022",34148,1,2e+06,0
"002023022",34170,1,650000,0
"002023022",34181,1,1.5e+07,0
"002023035",34170,1,1e+05,0
"002073071",33190,1,3e+05,0
"002073075",33190,1,2e+06,0
"002213133",34170,1,5e+05,0
"002043041",34170,1,4e+05,0
"002013007",33156,1,5e+05,0
"002023031",34170,1,2e+05,0
"002023032",33190,1,1e+06,0
"002043042",34170,1,2e+05,0
"002043044",34170,1,3e+05,0
"002073066",34170,1,120000,0
"002073067",33145,1,5e+07,0
"002073069",33258,1,750000,0
"002073070",34127,1,1967000,0
"002163110",34170,1,250000,0
"002013001",34170,1,80000,0
"002023023",34170,1,150000,0
"002023024",34170,1,350000,0
"002023031",34181,1,2e+07,0
"002043043",34170,1,2e+05,0
"002043045",34170,1,3e+05,0
"002073067",34170,1,250000,0
"002073070",34170,1,150000,0
"002073074",33145,1,3.2e+07,0
"002163107",34170,1,1e+05,0
"002213135",34181,1,1400000,0
"002073058",34170,1,150000,0
"002073059",34170,1,145000,0
"002073056",33190,1,6e+06,0
"002073056",34170,1,1e+05,0
"002073060",34170,1,150000,0
"002053047",34170,1,3e+05,0
"002103085",34170,1,150000,0
"002103081",34170,1,5e+05,0
"002103082",34170,1,4e+05,0
"002103083",34170,1,2e+05,0
"002103084",34126,1,440000,0
"002103084",34170,1,1250000,0
"002023020",34170,1,5e+05,0
"002023016",33190,1,3500000,0
"002023016",34170,1,270000,0
"002023018",33190,1,3200000,0
"002023018",34170,1,150000,0
"002073062",33214,1,1100000,0
"002073062",34170,1,3e+05,0
"002073061",33258,1,5e+06,0
"002073061",34170,1,4e+06,0
"002073061",34192,1,6e+07,0
"002073064",33190,1,1.4e+07,0
"002073064",33214,1,7e+05,0
"002073064",34170,1,5e+05,0
"002143092",34170,1,1e+05,0
"002143093",34170,1,120000,0
"002043039",33190,1,1500000,0
"002043039",34170,1,150000,0
"002043036",34170,1,750000,0
"002043038",34170,1,5e+05,0
"002043040",33190,1,350000,0
"002043040",34170,1,70000,0
"002043037",34170,1,1800000,0
"002193125",33123,1,350000,0
"002193125",33190,1,1.4e+07,0
"002193125",34170,1,120000,0
"002193121",33190,1,1.8e+07,0
"002193121",34181,1,4140000,0
"002193123",34170,6,6e+05,0
"002193124",34170,1,5e+05,0
"002023029",33214,1,2e+05,0
"002023028",33190,1,4e+07,0
"002023027",33190,1,3.5e+07,0
"002183120",33190,1,1850000,0
"002183120",34170,1,5e+05,0
"002183116",33258,1,3500000,0
"002183116",34170,1,150000,0
"002183119",33258,1,1260000,0
"002183119",34170,1,250000,0
"002183118",33190,1,2500000,0
"002183118",33258,1,2500000,0
"002183118",34170,1,450000,0
"002183117",33190,1,1e+07,0
"002183117",33258,1,3e+06,0
"002183117",34170,1,4e+05,0
"002163115",33190,1,1e+06,0
"002163115",33214,1,1200000,0
"002163115",33258,1,2200000,0
"002163114",33258,1,2570000,0
"002163112",34170,1,4e+05,0
"002163111",33258,1,1500000,0
"002053051",33258,1,4200000,0
"002053051",34170,1,450000,0
"002053052",33258,1,1100000,0
