"Address","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08","DYCOL09","DYCOL10","DYCOL11","DYCOL12","DYCOL13","DYCOL14","DYCOL15","DYCOL16","DYCOL17","DYCOL18","DYCOL19","DYCOL20","DYCOL21","DYCOL22","DYCOL23","DYCOL24","DYCOL25","DYCOL26","DYCOL27","DYCOL28","DYCOL29","DYCOL30","DYCOL31","DYCOL32","DYCOL33","DYCOL34","DYCOL35","DYCOL36"
100042048,1,"02","075",3,"01",1,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10"
100042050,3,"02","070",3,"01",1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,"03","10"
100062061,1,"03","106",1,NA,NA,1,1,1,1,NA,1,1,NA,1,NA,1,1,1,1,NA,1,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100062062,1,"04","160",1,NA,1,NA,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100062064,3,"03","085",1,NA,NA,NA,NA,1,1,NA,1,1,NA,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,"03","10"
100062065,1,"04","115",1,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,NA,"03","10"
100012031,1,"02","060",3,"01",NA,1,1,1,1,NA,1,1,NA,NA,NA,1,1,NA,1,1,1,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10"
100012033,1,"02","080",3,"01",NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10"
100042049,1,"03","080",3,"01",1,NA,NA,1,1,NA,1,1,NA,NA,1,1,1,NA,1,NA,1,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10"
100062063,1,"04","180",1,NA,1,NA,NA,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100012034,1,"02","060",3,"01",NA,NA,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100012036,3,"03","068",3,"01",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10"
100012037,1,"03","150",3,"01",1,NA,NA,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100012039,1,"04","100",1,NA,1,NA,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100012040,3,"03","085",1,NA,NA,1,1,1,1,NA,1,1,NA,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10"
100012021,1,"03","075",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10"
100012022,3,"02","065",3,"01",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,"03","10"
100012024,3,"02","055",3,"01",NA,1,NA,1,1,NA,1,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10"
100012023,1,"02","090",1,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,"03","10"
100012008,1,"03","080",1,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100012009,1,"03","088",1,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100012010,1,"03","085",1,NA,1,NA,NA,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100092075,3,"03","120",3,"01",NA,1,NA,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
